"","DATA (YYYY-MM-DD)","HORA (UTC)","PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)","PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)","RADIACAO GLOBAL (KJ/m²)","TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","TEMPERATURA DO PONTO DE ORVALHO (°C)","TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)","TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)","TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)","TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)","UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)","UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)","...20","ano","Data","Hora UTC","RADIACAO GLOBAL (Kj/m²)"
"1",2013-01-01,00:00:00,0.4,983.5,983.5,982.1,NA,26.1,21.9,28.1,26.1,22,20.7,78,64,78,145,4.3,2.1,NA,2013,NA,NA,NA
"2",2013-01-01,01:00:00,1.2,983.9,984,983.5,NA,24.7,22.7,26.1,24.5,22.9,22.2,89,78,89,184,4,1.4,NA,2013,NA,NA,NA
"3",2013-01-01,02:00:00,0.4,984.4,984.5,983.9,NA,24.5,22.8,24.9,24.5,23.2,22.5,91,88,91,247,3.7,1.6,NA,2013,NA,NA,NA
"4",2013-01-01,03:00:00,0,984.9,985,984.4,NA,24.4,22.9,24.5,24.2,22.9,22.5,92,90,92,98,3.5,1.9,NA,2013,NA,NA,NA
"5",2013-01-01,04:00:00,0,984.3,984.9,984.3,NA,24.4,22.9,24.4,24.2,23,22.8,92,91,91,123,3.5,1.2,NA,2013,NA,NA,NA
"6",2013-01-01,05:00:00,0,983.3,984.3,983.3,NA,24.2,22.6,24.4,24.2,22.9,22.6,91,91,91,217,2.3,0.2,NA,2013,NA,NA,NA
"7",2013-01-01,06:00:00,0,982.5,983.3,982.5,NA,24,22.5,24.2,24,22.8,22.5,92,91,91,29,1.6,0.8,NA,2013,NA,NA,NA
"8",2013-01-01,07:00:00,0,982.5,982.6,982.5,NA,24,22.2,24,23.9,22.5,22.2,91,89,90,18,2.8,1.4,NA,2013,NA,NA,NA
"9",2013-01-01,08:00:00,0,983,983,982.5,NA,24,22.5,24,23.9,22.5,22.2,91,90,91,342,2.8,0.9,NA,2013,NA,NA,NA
"10",2013-01-01,09:00:00,0,983.3,983.3,983,NA,23.9,22.6,24,23.9,22.6,22.5,92,91,92,322,1.8,0.6,NA,2013,NA,NA,NA
"11",2013-01-01,10:00:00,0,984,984,983.3,14.3,24.1,22.6,24.1,23.8,22.6,22.5,93,91,91,304,2.3,0.9,NA,2013,NA,NA,NA
"12",2013-01-01,11:00:00,0,984.5,984.5,984,219.2,25.4,22.8,25.4,24.1,23,22.5,91,85,86,335,2.5,1.4,NA,2013,NA,NA,NA
"13",2013-01-01,12:00:00,0,985.2,985.2,984.5,407.9,26.2,23.5,26.2,25.3,23.5,22.5,87,83,85,313,2.5,0.9,NA,2013,NA,NA,NA
"14",2013-01-01,13:00:00,0,985.4,985.5,985.2,613.3,29,22.9,29,26.2,24,22.3,85,68,70,326,4,1.7,NA,2013,NA,NA,NA
"15",2013-01-01,14:00:00,0,985.6,985.6,985.4,432,30.5,21.9,30.9,28.9,23.6,21,71,56,60,317,5.1,1.9,NA,2013,NA,NA,NA
"16",2013-01-01,15:00:00,0,985.3,985.6,985.3,2348.5,32.2,20.3,32.3,30.5,22.6,19.5,62,47,50,329,4.6,1.8,NA,2013,NA,NA,NA
"17",2013-01-01,16:00:00,0,984.8,985.3,984.8,3259.3,33.3,19.8,33.4,31.9,21.2,18.8,53,42,45,307,5.1,1.8,NA,2013,NA,NA,NA
"18",2013-01-01,17:00:00,0,984.1,984.8,984.1,1153.2,28.4,19.7,33.3,28.4,21.5,18,59,43,59,359,10.9,2.9,NA,2013,NA,NA,NA
"19",2013-01-01,18:00:00,0,982.3,984.1,982.3,313.3,28.8,21.7,28.8,27.3,22.4,19.9,73,60,65,143,6.3,1,NA,2013,NA,NA,NA
"20",2013-01-01,19:00:00,0,981,982.4,981,1882.3,32.5,19.9,33,28.9,23.4,19.3,67,45,47,349,3,1.1,NA,2013,NA,NA,NA
"21",2013-01-01,20:00:00,0,980.8,981,980.6,1926.2,31.1,21.8,33.1,31,22.2,19,59,44,58,22,5.3,2.8,NA,2013,NA,NA,NA
"22",2013-01-01,21:00:00,0,981.4,981.4,980.7,723,28.6,22.1,31.4,28.6,22.6,19.6,69,52,68,79,5.3,2.5,NA,2013,NA,NA,NA
"23",2013-01-01,22:00:00,0,982.1,982.1,981.3,80.7,27.4,21.5,28.6,27,21.6,20.4,71,66,71,325,6.7,2.7,NA,2013,NA,NA,NA
"24",2013-01-01,23:00:00,0,982.9,982.9,982,4.3,27.1,21.4,27.4,26.7,21.6,20.8,73,68,71,274,8.5,1.1,NA,2013,NA,NA,NA
"25",2013-01-02,00:00:00,0,983.6,983.7,982.9,NA,26.6,22,27.1,26.4,22,21.2,77,71,76,244,3.1,1.3,NA,2013,NA,NA,NA
"26",2013-01-02,01:00:00,0,984.7,984.7,983.6,NA,26.2,21.8,26.7,26.2,22.1,21.6,77,75,77,242,3.1,1.4,NA,2013,NA,NA,NA
"27",2013-01-02,02:00:00,0,985.4,985.4,984.6,NA,25.1,22.2,26.2,24.9,22.5,21.8,86,77,84,283,3.1,0.7,NA,2013,NA,NA,NA
"28",2013-01-02,03:00:00,0,985.8,985.8,985.3,NA,25.3,22.1,25.3,24.7,22.5,22,87,82,82,105,1.8,0.8,NA,2013,NA,NA,NA
"29",2013-01-02,04:00:00,0,985,985.8,985,NA,25.3,22.2,25.5,25.3,22.5,22.1,84,82,83,125,1.4,0.4,NA,2013,NA,NA,NA
"30",2013-01-02,05:00:00,0,984.6,985,984.5,NA,24.7,22.1,25.3,24.7,22.4,22.1,86,83,85,93,2.5,1.3,NA,2013,NA,NA,NA
"31",2013-01-02,06:00:00,0,984.1,984.6,984.1,NA,24.4,22.3,24.7,24.4,22.6,22.1,90,85,88,117,2.8,1.2,NA,2013,NA,NA,NA
"32",2013-01-02,07:00:00,0,983.9,984.2,983.9,NA,24.4,21.8,24.5,24.4,22.3,21.6,88,85,85,132,2.8,1.2,NA,2013,NA,NA,NA
"33",2013-01-02,08:00:00,0,984.1,984.1,983.9,NA,24.4,22,24.5,24.3,22,21.8,86,85,86,144,3,1.9,NA,2013,NA,NA,NA
"34",2013-01-02,09:00:00,0,984.7,984.7,984.1,NA,24.3,22,24.5,24.3,22,21.8,87,85,87,173,4.4,2.1,NA,2013,NA,NA,NA
"35",2013-01-02,10:00:00,0,985.5,985.5,984.7,12.2,24.2,22.3,24.3,24.2,22.3,22,89,87,89,183,4.6,2.4,NA,2013,NA,NA,NA
"36",2013-01-02,11:00:00,0,986.3,986.3,985.5,212.3,24.9,22.3,24.9,24.2,22.6,22.2,89,86,86,181,4.3,2,NA,2013,NA,NA,NA
"37",2013-01-02,12:00:00,0,986.7,986.7,986.3,266.7,25,22.3,25,24.8,22.5,22.2,86,85,85,190,4.1,2.1,NA,2013,NA,NA,NA
"38",2013-01-02,13:00:00,0,986.7,986.7,986.5,654.3,25.7,21.9,26.2,25,22.6,21.9,86,79,80,183,4.9,2.5,NA,2013,NA,NA,NA
"39",2013-01-02,14:00:00,0,986.4,986.7,986.4,769.2,27.6,21.7,27.6,25.7,22.8,21.6,81,70,70,186,5.1,2,NA,2013,NA,NA,NA
"40",2013-01-02,15:00:00,0,985.9,986.4,985.9,1746.8,28.5,21.7,28.8,27.1,22.7,21.1,74,65,67,152,4.9,2.6,NA,2013,NA,NA,NA
"41",2013-01-02,16:00:00,0,984.9,985.9,984.9,3564.8,29.8,21.4,29.8,28.3,22.3,20.7,69,59,61,166,5.6,2.1,NA,2013,NA,NA,NA
"42",2013-01-02,17:00:00,0,984,984.9,984,3626.8,30.4,20.4,31,29.4,22.2,19.9,62,54,55,115,5.6,2.2,NA,2013,NA,NA,NA
"43",2013-01-02,18:00:00,0,983.2,984,983.2,3243.4,31.2,21.5,31.8,30.4,22.7,20.2,61,52,56,115,5.3,2,NA,2013,NA,NA,NA
"44",2013-01-02,19:00:00,0,981.9,983.2,981.9,2783.9,31.8,21.6,32.5,30.8,22.8,21.1,59,53,55,131,5.3,2,NA,2013,NA,NA,NA
"45",2013-01-02,20:00:00,0,981,981.9,981,1639.2,31.8,21.2,32.4,31.1,22,20.5,56,51,54,142,5.3,2.2,NA,2013,NA,NA,NA
"46",2013-01-02,21:00:00,0,980.6,981,980.6,392.5,31.5,21.7,31.9,31.3,21.7,20,56,50,56,186,5.8,2.4,NA,2013,NA,NA,NA
"47",2013-01-02,22:00:00,0,981.1,981.1,980.5,380.5,30.9,21.8,31.6,30.9,22,21.2,58,55,58,177,6.2,2.8,NA,2013,NA,NA,NA
"48",2013-01-02,23:00:00,0,982.5,982.5,981.1,45.9,30,21.3,30.9,30,21.8,21.3,61,57,59,144,6,2.2,NA,2013,NA,NA,NA
"49",2013-01-03,00:00:00,0,983.5,983.5,982.5,NA,28.1,22.1,30,28.1,22.4,21.1,70,59,70,201,8.3,2.1,NA,2013,NA,NA,NA
"50",2013-01-03,01:00:00,0,984.4,984.4,983.5,NA,27.2,20.9,28.1,27.2,22.1,20.4,70,65,69,199,6.7,2.8,NA,2013,NA,NA,NA
"51",2013-01-03,02:00:00,0,985.3,985.3,984.3,NA,26.3,22.5,27.2,26.3,22.5,21,80,69,80,190,6.8,2.5,NA,2013,NA,NA,NA
"52",2013-01-03,03:00:00,0,985.8,985.9,985.3,NA,25.8,23,26.3,25.8,23,22.5,84,80,84,184,6,1.8,NA,2013,NA,NA,NA
"53",2013-01-03,04:00:00,0,985.5,986,985.5,NA,25.9,22.9,25.9,25.7,23,22.9,85,84,84,143,5.4,2.5,NA,2013,NA,NA,NA
"54",2013-01-03,05:00:00,0,984.8,985.6,984.8,NA,25.3,23,25.9,25.3,23.1,22.9,87,84,87,180,4.8,2.2,NA,2013,NA,NA,NA
"55",2013-01-03,06:00:00,0,984.6,984.9,984.6,NA,25.1,22.7,25.3,25.1,23.1,22.6,88,86,87,162,3.6,1.3,NA,2013,NA,NA,NA
"56",2013-01-03,07:00:00,0,984.5,984.6,984.4,NA,24.9,22.6,25.1,24.8,22.8,22.6,88,86,87,205,2.7,0.9,NA,2013,NA,NA,NA
"57",2013-01-03,08:00:00,0,984.5,984.6,984.4,NA,24.5,22.5,24.9,24.5,22.6,22.5,89,87,89,225,2.1,0.5,NA,2013,NA,NA,NA
"58",2013-01-03,09:00:00,0,985.1,985.1,984.5,NA,24.5,22.7,24.6,24.4,22.7,22.5,90,89,90,230,1.9,0.5,NA,2013,NA,NA,NA
"59",2013-01-03,10:00:00,0,986.1,986.1,985.1,22.8,24.7,22.6,24.7,24.5,22.7,22.4,90,88,88,240,2.1,0.9,NA,2013,NA,NA,NA
"60",2013-01-03,11:00:00,0,986.8,986.8,986.1,205.1,25.5,22.4,25.6,24.7,22.7,22.1,88,82,83,168,2.7,1,NA,2013,NA,NA,NA
"61",2013-01-03,12:00:00,0,987.1,987.1,986.8,422.3,27,22.6,27.3,25.6,22.9,22,83,76,77,13,2.5,0.6,NA,2013,NA,NA,NA
"62",2013-01-03,13:00:00,0,987.3,987.3,986.9,611.5,28,23,28.5,26.6,24,22.4,81,72,75,308,3.1,1.2,NA,2013,NA,NA,NA
"63",2013-01-03,14:00:00,0,986.9,987.4,986.9,758.1,30.2,22.5,30.2,27.8,23.8,22.2,76,63,63,267,3.4,1,NA,2013,NA,NA,NA
"64",2013-01-03,15:00:00,0,986.4,986.9,986.4,1710.3,30.5,23.3,31.5,29.5,23.8,22.2,68,60,66,319,4.7,1.8,NA,2013,NA,NA,NA
"65",2013-01-03,16:00:00,0,985.5,986.4,985.5,2685.4,32.7,22.1,32.7,30.6,24.1,21.6,66,53,54,167,4.7,0.7,NA,2013,NA,NA,NA
"66",2013-01-03,17:00:00,4.8,984.5,985.7,984.5,1867,30.8,25.2,33.2,26.4,25.2,21.5,85,54,73,268,8.2,1.2,NA,2013,NA,NA,NA
"67",2013-01-03,18:00:00,0,983.3,984.5,983.3,3535.8,33.9,22.8,34.3,30.8,25.7,22.1,72,50,52,219,3.6,1.1,NA,2013,NA,NA,NA
"68",2013-01-03,19:00:00,0,982.5,983.4,982.5,2500.1,33.3,21.1,34.6,33.3,24.5,21.1,57,47,49,124,3.6,0.9,NA,2013,NA,NA,NA
"69",2013-01-03,20:00:00,0,982.4,982.5,981.8,538.7,30.7,21.9,33.3,30.5,22.1,19.6,60,49,60,94,6.6,1.4,NA,2013,NA,NA,NA
"70",2013-01-03,21:00:00,0,982.2,982.5,981.9,481.4,29,21.7,30.7,28.8,22.1,20.7,66,58,65,349,8.2,1,NA,2013,NA,NA,NA
"71",2013-01-03,22:00:00,0,981.9,982.4,981.9,181.7,29.2,21.8,29.4,28.9,22.1,21.1,66,62,65,255,4.9,1.5,NA,2013,NA,NA,NA
"72",2013-01-03,23:00:00,0,982.6,982.6,981.9,15.4,27.4,20.6,29.2,27.3,22,20.3,69,63,66,252,5.8,1.7,NA,2013,NA,NA,NA
"73",2013-01-04,00:00:00,0,983,983,982.6,NA,26.4,20.5,27.4,26.4,20.6,20.1,70,65,70,229,4.5,1.2,NA,2013,NA,NA,NA
"74",2013-01-04,01:00:00,0,984.1,984.1,983,NA,27.2,20.1,27.6,26.4,20.8,19.9,71,64,66,132,3,1.2,NA,2013,NA,NA,NA
"75",2013-01-04,02:00:00,0,984.8,984.8,984.1,NA,26.1,21.2,27.2,26,21.2,20.1,75,66,75,271,2.5,0.6,NA,2013,NA,NA,NA
"76",2013-01-04,03:00:00,0,985.4,985.4,984.8,NA,26.9,21.5,26.9,26.1,22.1,20.9,79,71,72,117,2.5,1,NA,2013,NA,NA,NA
"77",2013-01-04,04:00:00,0,985.4,985.6,985.4,NA,27,21.5,27.3,26.9,21.7,21.1,73,69,72,161,2.4,1.1,NA,2013,NA,NA,NA
"78",2013-01-04,05:00:00,0,985.3,985.6,985.3,NA,25.8,22,27.1,25.8,22.3,21.3,81,71,80,132,5.1,1.8,NA,2013,NA,NA,NA
"79",2013-01-04,06:00:00,0,984.4,985.3,984.4,NA,25.2,20.7,25.9,25.2,22.1,20.7,80,75,76,141,4.8,1.4,NA,2013,NA,NA,NA
"80",2013-01-04,07:00:00,0,984.7,984.7,984.4,NA,24.8,20.9,25.2,24.8,20.9,20.6,79,76,79,60,2.5,0.6,NA,2013,NA,NA,NA
"81",2013-01-04,08:00:00,0,984.8,984.8,984.4,NA,24.2,22.2,24.8,24.2,22.3,20.9,89,79,89,331,3.5,1.9,NA,2013,NA,NA,NA
"82",2013-01-04,09:00:00,0,984.9,984.9,984.6,NA,24.6,22.4,24.6,24,22.4,22.2,90,88,88,161,3.5,0.5,NA,2013,NA,NA,NA
"83",2013-01-04,10:00:00,0,985.8,985.8,984.9,10.7,24.5,22.7,24.9,24.2,22.7,22,90,85,90,285,3.2,0.6,NA,2013,NA,NA,NA
"84",2013-01-04,11:00:00,0,986.5,986.5,985.8,196.2,25.4,22.8,25.4,24.5,23,22.5,90,85,86,309,1.9,0.8,NA,2013,NA,NA,NA
"85",2013-01-04,12:00:00,0,987.1,987.1,986.5,405.7,27.6,22.2,27.9,25.4,23.2,22,86,71,73,331,2.3,0.8,NA,2013,NA,NA,NA
"86",2013-01-04,13:00:00,0,987.6,987.6,987.1,540.3,28.8,23,29.2,27.6,23.3,21.9,73,67,71,352,3.5,1.4,NA,2013,NA,NA,NA
"87",2013-01-04,14:00:00,1.2,987.9,988.1,987.6,463.9,26.9,23.5,29.5,26.7,23.6,22.3,82,66,82,5,5.2,1.4,NA,2013,NA,NA,NA
"88",2013-01-04,15:00:00,0.6,986.6,987.9,986.6,1599.2,30.1,23.1,30.2,26.5,25,22.3,87,63,66,149,4.9,0.6,NA,2013,NA,NA,NA
"89",2013-01-04,16:00:00,0,986.1,986.6,986.1,2454.1,30.7,24.2,31.2,29.9,24.4,22.1,70,62,68,308,4.5,1.5,NA,2013,NA,NA,NA
"90",2013-01-04,17:00:00,0,985.5,986.1,985.5,2610.1,30.2,22.1,31.5,30.2,24.3,21.8,69,57,62,293,8.1,3.2,NA,2013,NA,NA,NA
"91",2013-01-04,18:00:00,0,984.2,985.6,984.2,3393.5,30.4,21.8,30.7,29.8,23.7,21.3,68,59,60,294,8.5,3.4,NA,2013,NA,NA,NA
"92",2013-01-04,19:00:00,0,984.1,984.2,983.8,1329.7,28.7,19.9,30.9,28.5,22.4,19.8,66,58,59,291,8.5,2.3,NA,2013,NA,NA,NA
"93",2013-01-04,20:00:00,0,983,984.4,983,56.9,25.9,22.2,28.6,25.9,22.6,19.9,81,59,80,185,6.6,2,NA,2013,NA,NA,NA
"94",2013-01-04,21:00:00,0,982.7,983,982.2,27.4,26.2,22.5,26.4,25.9,22.6,22,81,79,80,86,3.7,1.3,NA,2013,NA,NA,NA
"95",2013-01-04,22:00:00,0,984,984,982.7,20.6,25,22.9,26.2,25,23.2,22.6,89,80,88,88,4.4,1.6,NA,2013,NA,NA,NA
"96",2013-01-04,23:00:00,0,984.9,985,984,2,25,22.7,25.2,24.9,23.1,22.7,88,87,88,89,3.9,1.6,NA,2013,NA,NA,NA
"97",2013-01-05,00:00:00,0,984.7,985,984.7,NA,25,22.4,25.2,24.9,22.8,22.4,88,85,86,75,3.4,1.5,NA,2013,NA,NA,NA
"98",2013-01-05,01:00:00,0,985.2,985.2,984.6,NA,25,22.5,25.2,25,22.6,22.4,86,85,86,65,3.1,0.6,NA,2013,NA,NA,NA
"99",2013-01-05,02:00:00,0,985.7,985.7,985.2,NA,25.1,22.7,25.1,24.7,22.8,22.5,88,86,86,283,1.8,0.8,NA,2013,NA,NA,NA
"100",2013-01-05,03:00:00,0,985.7,986,985.6,NA,24.6,22.7,25.1,24.6,22.9,22.5,90,87,90,295,1.5,0.4,NA,2013,NA,NA,NA
