"","Combination","AIC"
"1","precipitacao.x+pressao.x+t.x",838.05412705079
"2","precipitacao.x+pressao.x+radiacao.x",838.14985376239
"3","precipitacao.x+pressao.x+radiacao.x+ur.x",839.489042061206
"4","precipitacao.x+pressao.x+radiacao.x+t.x",839.81249012272
"5","precipitacao.x+pressao.x+radiacao.x+t.x+ur.x",840.638070517479
"6","precipitacao.x+pressao.x",841.560691254026
"7","precipitacao.x+pressao.x+ur.x",843.41161616512
"8","precipitacao.x+pressao.x+t.x+ur.x",844.988384255058
"9","pressao.x+t.x",856.405256828353
"10","pressao.x+radiacao.x",856.686063013921
"11","pressao.x+radiacao.x+ur.x",857.605392490589
"12","pressao.x+t.x+ur.x",857.737883816046
"13","pressao.x+radiacao.x+t.x",858.175346818892
"14","pressao.x+radiacao.x+t.x+ur.x",859.595807192261
"15","pressao.x",860.175536360181
"16","pressao.x+ur.x",861.813223494541
"17","precipitacao.x+radiacao.x",874.580594415379
"18","precipitacao.x+radiacao.x+t.x+ur.x",876.164564772011
"19","precipitacao.x+radiacao.x+ur.x",876.332908007662
"20","precipitacao.x+radiacao.x+t.x",876.375523364127
"21","precipitacao.x",879.872110925148
"22","precipitacao.x+t.x",881.220434876142
"23","precipitacao.x+ur.x",881.872031509206
"24","precipitacao.x+t.x+ur.x",882.375730860328
"25","radiacao.x",890.295498850126
"26","radiacao.x+t.x+ur.x",891.274570966301
"27","radiacao.x+ur.x",891.894831503787
"28","radiacao.x+t.x",892.145320976348
"29","t.x",896.274529955669
"30","ur.x",896.495251516702
"31","t.x+ur.x",896.807445485795
"32","Sem Variáveis Exógenas",905.878166541727
